word,coef
great,4.543369614049608
works,4.54011201885261
miracle,4.446213677947189
verapamil,4.225446946456821
ve effects,3.992331830600874
day pain,3.9363078961267033
helped,3.8739585537345005
situations,3.810899733974795
easier,3.7423045738554337
recommended,3.7305571618247586
pack,3.6979447252181843
dvt,3.697363879158461
changer,3.6939062340691455
wonder drug,3.530793851843166
zero effects,3.5186957103568384
insulin,-4.026330612170295
pen,-4.0319974426818606
taken market,-4.039787601180861
started getting,-4.069101660178705
stopped taking,-4.083220470971633
fatigue,-4.0895267701496865
caused,-4.1131367492966895
useless,-4.168553642584932
march,-4.182701494411552
horrible,-4.32299413128562
worst,-4.3271989692234225
humalog,-4.45249234959659
agitated,-4.5471991365211055
worse,-4.559007573035684
shortage,-5.126498020326076
