feature,importance,std
price_log,0.06329999999999995,0.024739734122347493
price_30day,0.035133333333333294,0.018357075535668062
price_cv,0.024133333333333257,0.007357837846662405
adverse_unique,0.014266666666666594,0.004309679029038398
dosage_risk_score,0.009466666666666597,0.00438988736884114
trial_total,0.007299999999999925,0.0015595583420386016
has_substitute,0.006899999999999935,0.0024039319642803697
n_manufacturers,0.0018666666666666098,0.0010349449797506613
is_brand_only,0.0016999999999999416,0.0010796089827134437
adverse_log,9.999999999999565e-05,0.00039581140290124664
generic_available,3.3333333333331885e-05,0.00023333333333332314
low_manufacturer_risk,3.3333333333331885e-05,0.00023333333333332314
